Course: BI121, Instructor: Vincent P. Lombardi, Taught Count: 7, Aprec Avg: 22.03%, Failprec Avg: 4.22%, Faculty Status: 0
Course: BI122, Instructor: Amy Alexis Connolly, Taught Count: 2, Aprec Avg: 6.13%, Failprec Avg: 13.05%, Faculty Status: 0
Course: BI122, Instructor: Kryn Stankunas, Taught Count: 1, Aprec Avg: 61.45%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI122, Instructor: Andrew Wayne Vandegrift, Taught Count: 1, Aprec Avg: 42.70%, Failprec Avg: 2.81%, Faculty Status: 0
Course: BI123, Instructor: Alan James Kelly, Taught Count: 4, Aprec Avg: 22.03%, Failprec Avg: 6.04%, Faculty Status: 1
Course: BI130, Instructor: Jason Pienaar, Taught Count: 1, Aprec Avg: 27.05%, Failprec Avg: 4.92%, Faculty Status: 0
Course: BI130, Instructor: Claude Benjamin Crabtree, Taught Count: 3, Aprec Avg: 73.47%, Failprec Avg: 1.30%, Faculty Status: 0
Course: BI130, Instructor: Tobias Joseph Policha, Taught Count: 3, Aprec Avg: 22.35%, Failprec Avg: 11.14%, Faculty Status: 0
Course: BI131, Instructor: Jason Pienaar, Taught Count: 1, Aprec Avg: 5.56%, Failprec Avg: 6.25%, Faculty Status: 0
Course: BI131, Instructor: Ann Marie Petersen, Taught Count: 1, Aprec Avg: 31.45%, Failprec Avg: 5.03%, Faculty Status: 0
Course: BI131, Instructor: Gabriel Isaac Yospin, Taught Count: 1, Aprec Avg: 28.39%, Failprec Avg: 8.39%, Faculty Status: 0
Course: BI132, Instructor: Debbie Schlenoff, Taught Count: 5, Aprec Avg: 18.72%, Failprec Avg: 5.98%, Faculty Status: 1
Course: BI132, Instructor: Avinash Deep Bala Singh, Taught Count: 4, Aprec Avg: 63.13%, Failprec Avg: 2.16%, Faculty Status: 0
Course: BI140M, Instructor: Judith Eisen, Taught Count: 2, Aprec Avg: 18.92%, Failprec Avg: 2.17%, Faculty Status: 1
Course: BI140M, Instructor: Eleanor Vivienne H Vandegrift, Taught Count: 1, Aprec Avg: 25.00%, Failprec Avg: 3.12%, Faculty Status: 0
Course: BI150, Instructor: Michelle Wood, Taught Count: 2, Aprec Avg: 27.56%, Failprec Avg: 4.39%, Faculty Status: 0
Course: BI150, Instructor: Anne Michelle Wood, Taught Count: 2, Aprec Avg: 46.46%, Failprec Avg: 1.67%, Faculty Status: 0
Course: BI199, Instructor: Vincent P. Lombardi, Taught Count: 4, Aprec Avg: 75.69%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI211, Instructor: John H. Postlethwait, Taught Count: 5, Aprec Avg: 11.34%, Failprec Avg: 10.61%, Faculty Status: 1
Course: BI211, Instructor: Peter Brian Wetherwax, Taught Count: 5, Aprec Avg: 25.77%, Failprec Avg: 14.04%, Faculty Status: 1
Course: BI211, Instructor: Jana Prikryl, Taught Count: 4, Aprec Avg: 16.36%, Failprec Avg: 15.47%, Faculty Status: 0
Course: BI211, Instructor: Cristin Leanna Hulslander, Taught Count: 2, Aprec Avg: 17.28%, Failprec Avg: 11.05%, Faculty Status: 1
Course: BI211, Instructor: Lorien Lily Reynolds, Taught Count: 1, Aprec Avg: 27.42%, Failprec Avg: 14.52%, Faculty Status: 0
Course: BI211, Instructor: Nicola Caroline Barber, Taught Count: 1, Aprec Avg: 27.47%, Failprec Avg: 5.51%, Faculty Status: 0
Course: BI212, Instructor: Mark Charles Carrier, Taught Count: 8, Aprec Avg: 11.70%, Failprec Avg: 17.80%, Faculty Status: 1
Course: BI212, Instructor: Hannah Elizabeth Wilson, Taught Count: 3, Aprec Avg: 26.70%, Failprec Avg: 7.13%, Faculty Status: 0
Course: BI213, Instructor: Peter Brian Wetherwax, Taught Count: 5, Aprec Avg: 13.91%, Failprec Avg: 8.36%, Faculty Status: 1
Course: BI213, Instructor: Cristin Leanna Hulslander, Taught Count: 2, Aprec Avg: 11.22%, Failprec Avg: 14.09%, Faculty Status: 1
Course: BI213, Instructor: Tobias Joseph Policha, Taught Count: 4, Aprec Avg: 37.03%, Failprec Avg: 3.67%, Faculty Status: 0
Course: BI213, Instructor: Gabriel Isaac Yospin, Taught Count: 1, Aprec Avg: 9.29%, Failprec Avg: 17.86%, Faculty Status: 0
Course: BI214, Instructor: Alan James Kelly, Taught Count: 5, Aprec Avg: 21.46%, Failprec Avg: 9.48%, Faculty Status: 1
Course: BI214, Instructor: Amy Alexis Connolly, Taught Count: 2, Aprec Avg: 7.95%, Failprec Avg: 5.66%, Faculty Status: 0
Course: BI281H, Instructor: Karen Ulvestad Sprague, Taught Count: 1, Aprec Avg: 37.68%, Failprec Avg: 17.39%, Faculty Status: 1
Course: BI281H, Instructor: Carl A. Stiefbold, Taught Count: 2, Aprec Avg: 27.90%, Failprec Avg: 7.97%, Faculty Status: 1
Course: BI281H, Instructor: Laurel Elaine Pfeifer-Meister, Taught Count: 1, Aprec Avg: 38.18%, Failprec Avg: 3.64%, Faculty Status: 0
Course: BI282H, Instructor: Carl A. Stiefbold, Taught Count: 3, Aprec Avg: 30.55%, Failprec Avg: 8.98%, Faculty Status: 1
Course: BI282H, Instructor: Victoria G. Herman, Taught Count: 1, Aprec Avg: 32.69%, Failprec Avg: 1.94%, Faculty Status: 1
Course: BI283H, Instructor: Carl A. Stiefbold, Taught Count: 3, Aprec Avg: 37.02%, Failprec Avg: 3.46%, Faculty Status: 1
Course: BI283H, Instructor: Brendan Bohannan, Taught Count: 1, Aprec Avg: 30.77%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI306, Instructor: Peter Brian Wetherwax, Taught Count: 1, Aprec Avg: 62.96%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI307, Instructor: Alan Wayne Dickman, Taught Count: 4, Aprec Avg: 27.52%, Failprec Avg: 0.85%, Faculty Status: 1
Course: BI309, Instructor: Janis C. Weeks, Taught Count: 4, Aprec Avg: 37.51%, Failprec Avg: 2.73%, Faculty Status: 1
Course: BI320, Instructor: Jana Prikryl, Taught Count: 8, Aprec Avg: 35.60%, Failprec Avg: 5.90%, Faculty Status: 0
Course: BI320, Instructor: Victoria G. Herman, Taught Count: 1, Aprec Avg: 20.24%, Failprec Avg: 9.52%, Faculty Status: 1
Course: BI320, Instructor: Leslie Adrianne Coonrod, Taught Count: 2, Aprec Avg: 23.99%, Failprec Avg: 9.16%, Faculty Status: 0
Course: BI322, Instructor: Philip Eric Washbourne, Taught Count: 3, Aprec Avg: 32.99%, Failprec Avg: 0.48%, Faculty Status: 1
Course: BI322, Instructor: Amy Alexis Connolly, Taught Count: 2, Aprec Avg: 36.67%, Failprec Avg: 2.90%, Faculty Status: 0
Course: BI322, Instructor: Nicola Caroline Barber, Taught Count: 1, Aprec Avg: 39.73%, Failprec Avg: 2.74%, Faculty Status: 0
Course: BI322, Instructor: Anne Elizabeth Dietz Zemper, Taught Count: 1, Aprec Avg: 22.00%, Failprec Avg: 2.00%, Faculty Status: 0
Course: BI328, Instructor: Bethany Anne Rader, Taught Count: 1, Aprec Avg: 16.07%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI328, Instructor: Avinash Deep Bala Singh, Taught Count: 2, Aprec Avg: 24.11%, Failprec Avg: 3.34%, Faculty Status: 0
